X,Y,Z,Cu,HoleId,ClusterId
2906.28,5294.93,2355.79,0.72,63,0
2902.08,5295.15,2360.81,0.68,63,0
2896.46,5295.45,2367.51,0.78,63,0
2892.86,5295.63,2371.8,0.68,63,0
2853.3,5365.2,2388.6,0.74,39,0
2853.3,5365.2,2397.6,0.83,39,0
2853.3,5365.2,2409.6,0.94,39,0
2853.3,5365.2,2412.6,0.94,39,0
2853.3,5365.2,2421.6,0.89,39,0
2853.3,5365.2,2415.6,0.94,39,0
2847.6,5461.4,2451.4,0.83,33,0
2847.6,5461.4,2460.4,0.81,33,0
2847.6,5461.4,2469.4,0.94,33,0
2847.6,5461.4,2457.4,0.81,33,0
2958.3,5369.1,2372.7,0.96,37,0
2970.05,5313.9,2334.32,1.21,25,0
2972.68,5313.9,2338.87,1.21,25,0
2979.05,5313.9,2349.91,1.44,25,0
2974.78,5313.9,2342.5,1.5,25,0
2976.05,5313.9,2344.71,1.5,25,0
2971.55,5313.9,2336.92,1.21,25,0
2957.18,5407.9,2328.59,1.09,0,0
2959.1,5465.9,2365.5,0.78,23,0
2986.1,5407.9,2363.06,1.42,0,0
2847.6,5461.4,2442.4,0.88,33,0
2894.6,5101.5,2573.3,0.95,68,0
2819.23,5209.5,2588.35,1.14,35,0
2833.15,5210.7,2520.77,0.74,54,0
2841.78,5209.5,2540,0.57,35,0
2838.77,5210.7,2514.07,0.72,54,0
2946.3,5158.6,2403.3,0.66,58,0
2873.48,5209.5,2472.03,0.64,35,0
2854.46,5209.5,2512.81,0.71,35,0
2862.39,5210.7,2485.92,0.68,54,0
2948.04,5108.5,2447.26,0.79,75,0
2888.12,5209.5,2440.63,0.8,35,0
2818.04,5210.7,2538.77,0.47,54,0
2847.3,5158.2,2480.1,1.23,5,0
2867.14,5209.5,2485.62,0.61,35,0
2847.3,5158.2,2549.1,0.82,5,0
2854.5,5265.3,2487.5,0.74,57,0
2894.6,5101.5,2582.3,1.04,68,0
2883.62,5209.5,2450.28,0.81,35,0
2879.82,5209.5,2458.43,0.84,35,0
2847.3,5158.2,2513.1,0.72,5,0
2847.92,5209.5,2526.84,0.57,35,0
2894.6,5101.5,2516.3,0.87,68,0
2858.54,5210.7,2490.51,0.76,54,0
2847.3,5158.2,2567.1,0.92,5,0
2826.57,5209.5,2572.63,1.1,35,0
2894.6,5101.5,2591.3,1,68,0
2854.5,5265.3,2502.5,0.89,57,0
2866.25,5210.7,2481.32,0.67,54,0
2821.22,5210.7,2534.98,0.76,54,0
2945.14,5108.5,2439.27,0.82,75,0
2964.46,5108.5,2492.36,1.63,75,0
2968.15,5108.5,2502.51,1.38,75,0
2894.6,5101.5,2504.3,0.78,68,0
2894.6,5101.5,2570.3,1.02,68,0
2894.6,5101.5,2588.3,1,68,0
2889.18,5209.5,2438.36,0.8,35,0
2877.45,5209.5,2463.51,0.75,35,0
2887.3,5210.7,2456.23,0.7,54,0
2879.75,5210.7,2465.23,0.72,54,0
2847.3,5158.2,2474.1,0.88,5,0
2847.3,5158.2,2525.1,0.73,5,0
2850.66,5209.5,2520.97,0.73,35,0
2844.74,5209.5,2533.66,0.45,35,0
2894.6,5101.5,2507.3,0.78,68,0
2894.6,5101.5,2528.3,1.37,68,0
2868.41,5209.5,2482.9,0.66,35,0
2857.21,5209.5,2506.92,0.68,35,0
2847.3,5158.2,2561.1,0.92,5,0
2847.3,5158.2,2582.1,0.93,5,0
2836.71,5209.5,2550.88,0.74,35,0
2824.03,5209.5,2578.07,0.84,35,0
2894.6,5101.5,2541.3,1.19,68,0
2894.6,5101.5,2612.3,0.7,68,0
